10:20:21 Status=PENDING Attempts=0 Worker=
10:20:23 Status=RETRYING Attempts=1 Worker=
10:20:26 Status=FAILED Attempts=3 Worker=
10:20:28 Status=FAILED Attempts=3 Worker=
10:20:30 Status=FAILED Attempts=3 Worker=
10:20:32 Status=FAILED Attempts=3 Worker=
10:20:34 Status=FAILED Attempts=3 Worker=
10:20:36 Status=FAILED Attempts=3 Worker=
10:20:38 Status=FAILED Attempts=3 Worker=
10:20:40 Status=FAILED Attempts=3 Worker=
10:20:42 Status=FAILED Attempts=3 Worker=
10:20:44 Status=FAILED Attempts=3 Worker=
10:20:46 Status=FAILED Attempts=3 Worker=
10:20:48 Status=FAILED Attempts=3 Worker=
10:20:50 Status=FAILED Attempts=3 Worker=
10:20:52 Status=FAILED Attempts=3 Worker=
10:20:54 Status=FAILED Attempts=3 Worker=
10:20:56 Status=FAILED Attempts=3 Worker=
10:20:58 Status=FAILED Attempts=3 Worker=
10:21:00 Status=FAILED Attempts=3 Worker=
10:21:03 Status=FAILED Attempts=3 Worker=
10:21:05 Status=FAILED Attempts=3 Worker=
10:21:07 Status=FAILED Attempts=3 Worker=
10:21:09 Status=FAILED Attempts=3 Worker=
10:21:11 Status=FAILED Attempts=3 Worker=
10:21:13 Status=FAILED Attempts=3 Worker=
10:21:15 Status=FAILED Attempts=3 Worker=
10:21:17 Status=FAILED Attempts=3 Worker=
10:21:19 Status=FAILED Attempts=3 Worker=
10:21:21 Status=FAILED Attempts=3 Worker=
10:21:23 Status=FAILED Attempts=3 Worker=
10:21:25 Status=FAILED Attempts=3 Worker=
10:21:27 Status=FAILED Attempts=3 Worker=
10:21:29 Status=FAILED Attempts=3 Worker=
10:21:31 Status=FAILED Attempts=3 Worker=
10:21:34 Status=FAILED Attempts=3 Worker=
10:21:36 Status=FAILED Attempts=3 Worker=
10:21:38 Status=FAILED Attempts=3 Worker=
10:21:40 Status=FAILED Attempts=3 Worker=
10:21:42 Status=FAILED Attempts=3 Worker=
10:21:44 Status=FAILED Attempts=3 Worker=
10:21:46 Status=FAILED Attempts=3 Worker=
10:21:48 Status=FAILED Attempts=3 Worker=
10:21:50 Status=FAILED Attempts=3 Worker=
10:21:52 Status=FAILED Attempts=3 Worker=
10:21:54 Status=FAILED Attempts=3 Worker=
10:21:56 Status=FAILED Attempts=3 Worker=
10:21:58 Status=FAILED Attempts=3 Worker=
10:22:00 Status=FAILED Attempts=3 Worker=
10:22:02 Status=FAILED Attempts=3 Worker=
10:22:04 Status=FAILED Attempts=3 Worker=
10:22:06 Status=FAILED Attempts=3 Worker=
10:22:08 Status=FAILED Attempts=3 Worker=
10:22:11 Status=FAILED Attempts=3 Worker=
10:22:13 Status=FAILED Attempts=3 Worker=
10:22:15 Status=FAILED Attempts=3 Worker=
10:22:17 Status=FAILED Attempts=3 Worker=
10:22:19 Status=FAILED Attempts=3 Worker=
